	labial:+;coronal:-;dorsal:-;front:0	labial:-;coronal:+;dorsal:-;front:0	labial:-;coronal:+;dorsal:-,+;front:+	labial:-;coronal:-;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+	b			ɡ	2/4	0.6476387123735386
periodicGlottalSource:-	p	t	tʲ	k	4/4	1.0
	2/2	1/2	1/2	2/2
	1.0	0.6982137273139257	0.646099549244264	1.0
