	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:-;distributed:+;dorsal:-	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-;category:affricate|plosive	p	t	t̠ʃ	kp	k	5/5	1.0
periodicGlottalSource:+;sonorant:-;nasal:-;category:affricate|plosive	b	d	d̠ʒ	ɡb	ɡ	5/5	1.0
periodicGlottalSource:-;sonorant:-;nasal:-;category:fricative	f	s	ʃ	-		3/4	0.8018101176545539
periodicGlottalSource:+;sonorant:-;nasal:-;category:fricative	v	z	ʒ	-		3/4	0.7544057687450426
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:fricative	ɱv			-		1/4	0.516944975960914
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:affricate|plosive	mb	nd	n̠d̠ʒ	ŋmɡb	ŋɡ	5/5	1.0
	6/6	5/6	5/6	3/3	3/6
	1.0	0.9996250492179978	0.9999915812089449	1.0	0.8213990083936559
