	labial:+;coronal:-;anterior:0;distributed:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0	labial:-;coronal:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	f	s	ʃ	3/3	1.0
periodicGlottalSource:+;sonorant:-;nasal:-	v	z	ʒ	3/3	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	ɱv			1/3	0.5504852006307108
	3/3	2/3	2/3
	1.0	0.9987204581198283	0.9999773225681352
