	labial:+;coronal:-;distributed:0;dorsal:-	labial:-;coronal:+;distributed:0;dorsal:-	labial:-;coronal:-;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d̪|d		2/3	0.5042866069879649
periodicGlottalSource:-;spreadGlottis:-	p	t̪|t	k	3/3	1.0
periodicGlottalSource:-;spreadGlottis:+	pʰ	t̪ʰ|tʰ	kʰ	3/3	1.0
	3/3	3/3	2/3
	1.0	1.0	0.71950672905944
