	labiodental:0;lateral:-;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;lateral:-,+;strident:-;anterior:+;distributed:0;high:0;low:0;front:0;back:0;round:0	labiodental:0;lateral:-;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
constrictedGlottis:-;raisedLarynxEjective:-	ts		t̠ʃ	2/3	0.9914718131495696
constrictedGlottis:+;raisedLarynxEjective:+ | constrictedGlottis:-,+;raisedLarynxEjective:-,+	tsʼ	t̪ɬ̪ʼ|tɬʼ	t̠ʃʼ	3/3	1.0
	2/2	1/2	2/2
	1.0	0.4265235444052681	1.0
