	labiodental:0;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	ts	t̠ʃ	2/2	1.0
periodicGlottalSource:+;sonorant:-;nasal:-	dz	d̠ʒ	2/2	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	ndz		1/2	0.4751558109832929
	3/3	2/3
	1.0	0.9844765206535627
