	labial:+;coronal:-;anterior:0;dorsal:-;high:0;front:0;back:0;round:-	labial:-;coronal:+;anterior:+;dorsal:-;high:0;front:0;back:0;round:0	labial:-;coronal:+;anterior:-;dorsal:+;high:+;front:+;back:-;round:0	labial:-;coronal:-;anterior:0;dorsal:+;high:+;front:-;back:-;round:0	labial:-,+;coronal:-;anterior:0;dorsal:+;high:+;front:-;back:-;round:+	labial:-;coronal:-;anterior:0;dorsal:+;high:-;front:-;back:+;round:0	labial:-,+;coronal:-;anterior:0;dorsal:+;high:-;front:-;back:+;round:+	count	markedness_count
spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-	p	t̪|t	c	k	kʷ	q	qʷ	7/7	1.0
spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-	pʰ	t̪ʰ|tʰ	cʰ	kʰ	kʷʰ	qʰ	qʷʰ	7/7	1.0
spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+		t̪ʼ|tʼ	cʼ	kʼ	kʷʼ	qʼ	qʷʼ	6/7	0.7909288510124922
	2/3	3/3	3/3	3/3	3/3	3/3	3/3
	0.9272468891773828	1.0	1.0	1.0	1.0	1.0	1.0
