	labial:+;coronal:-;lateral:-;strident:0;anterior:0;dorsal:-;high:0;front:0;back:0;round:-	labial:-;coronal:+;lateral:+;strident:-;anterior:+;dorsal:-;high:0;front:0;back:0;round:0 | labial:-;coronal:+;lateral:-,+;strident:-;anterior:+;dorsal:-;high:0;front:0;back:0;round:0	labial:-;coronal:+;lateral:-;strident:-;anterior:+;dorsal:-;high:0;front:0;back:0;round:0	labial:-;coronal:+;lateral:-;strident:+;anterior:-;dorsal:-;high:0;front:0;back:0;round:0	labial:-;coronal:+;lateral:-;strident:-;anterior:-;dorsal:+;high:+;front:+;back:-;round:0	labial:-;coronal:-;lateral:-;strident:0;anterior:0;dorsal:+;high:+;front:-;back:-;round:0	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;dorsal:+;high:+;front:-;back:-;round:+	labial:-;coronal:-;lateral:-;strident:0;anterior:0;dorsal:+;high:-;front:-;back:+;round:0	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;dorsal:+;high:-;front:-;back:+;round:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive		d̪ɮ̪|dɮ								1/9	0.003700258609891086
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		ɬ̪|ɬ			ç	x	xʷ	χ	χʷ	6/9	0.2787246143716817
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	p	t̪ɬ̪|tɬ	t̪|t	t̠ʃ	c	k	kʷ	q	qʷ	9/9	1.0
periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	pʰ		t̪ʰ|tʰ	t̠ʃʰ	cʰ	kʰ	kʷʰ	qʰ	qʷʰ	8/9	0.9908231411154338
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+;category:plosive | periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+;category:affricate | periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;category:plosive | periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;category:affricate		t̪ɬ̪ʼ|tɬʼ	t̪ʼ|tʼ	t̠ʃʼ	cʼ	kʼ	kʷʼ	qʼ	qʷʼ	8/9	0.8565694899304408
	2/5	4/5	3/5	3/5	4/5	4/5	4/5	4/5	4/5
	0.490776182305814	0.9483158831066314	0.6832784027974002	0.4509672080778321	0.6229622630425431	0.7593109674569655	0.8433356850474931	0.9250135719521131	0.95934107025463
