	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:+;coronal:-;dorsal:+	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+	b	d	ɡb	ɡ	4/4	1.0
periodicGlottalSource:-	p	t	kp	k	4/4	1.0
	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0
