	labial:+;coronal:-;dorsal:-;round:-	labial:-;coronal:+;dorsal:-;round:0	labial:+;coronal:-;dorsal:+;round:-	labial:-;coronal:-;dorsal:+;round:0	labial:-,+;coronal:-;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-	b	d	ɡb	ɡ	ɡʷ	5/5	1.0
periodicGlottalSource:+;loweredLarynxImplosive:+	ɓ	ɗ	-		-	2/3	0.8107532824294101
periodicGlottalSource:-;loweredLarynxImplosive:-	p	t	kp	k	kʷ	5/5	1.0
	3/3	3/3	2/2	2/3	2/2
	1.0	1.0	1.0	0.9881447527138928	1.0
