	labial:+;coronal:-;strident:0;dorsal:-;round:-	labial:-;coronal:+;strident:-;dorsal:-;round:0 | labial:-;coronal:+;strident:+;dorsal:-;round:0 | labial:-;coronal:+;strident:-,+;dorsal:-;round:0 | labial:-;coronal:+;strident:+;dorsal:-;round:0;distributed:- | labial:-;coronal:+;strident:+;dorsal:-;round:0;distributed:+ | labial:-;coronal:+;strident:+;dorsal:-;round:0;anterior:+;distributed:+	labial:-;coronal:-;strident:0;dorsal:+;round:0 | labial:-;coronal:+;strident:+;dorsal:+;round:0;anterior:+;distributed:+;front:+ | labial:-;coronal:+;strident:-;dorsal:+;round:0;anterior:-;distributed:+;front:+ | labial:-;coronal:+;strident:+;dorsal:-,+;round:0;anterior:-;distributed:+;high:+;low:-;front:+;back:-	labial:-,+;coronal:-;strident:0;dorsal:+;round:+ | labial:-,-,+;coronal:-;strident:0;dorsal:+;round:+ | labial:-,+;coronal:+;strident:-;dorsal:+;round:+;anterior:-;distributed:+;front:+ | labial:-,-,+;coronal:+;strident:-;dorsal:+;round:+;anterior:-;distributed:+;front:+ | labial:-,+;coronal:+;strident:+;dorsal:-;round:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0 | labial:-,-,+;coronal:+;strident:+;dorsal:-;round:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;sonorant:-;nasal:-;category:plosive				kʷ	1/4	0.04479943265052512
periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:-;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;sonorant:-;nasal:-;category:plosive		tʰ	kʰ		2/4	0.7005764045536312
periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+;spreadGlottis:-;sonorant:-;nasal:-;category:plosive	mb	nd	ŋɡ	ŋɡʷ	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	ɸ	s			2/4	0.8482942022438186
	2/4	3/4	2/4	2/4
	0.45554744040475337	0.6902514725998088	0.34821236805034667	0.6733649453266825
