	labial:+;labiodental:-;coronal:-;strident:0;dorsal:-;high:0;back:0 | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-;high:0;back:0 | labial:+;labiodental:+,-;coronal:-;strident:0;dorsal:-;high:0;back:0;round:-,+	labial:-;labiodental:0;coronal:+;strident:-;dorsal:-;high:0;back:0 | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;high:0;back:0 | labial:-;labiodental:0;coronal:+;strident:-,+;dorsal:-;high:0;back:0 | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;high:0;back:0;distributed:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;high:0;back:0;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;high:0;back:0;anterior:+;distributed:+	labial:+;labiodental:-;coronal:-;strident:0;dorsal:+;high:+;back:-	labial:-;labiodental:0;coronal:-;strident:0;dorsal:+;high:+;back:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:+;high:+;back:-;anterior:+;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:-;dorsal:+;high:+;back:-;anterior:-;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-,+;high:+;back:-;anterior:-;distributed:+;low:-;front:+ | labial:-;labiodental:0;coronal:-;strident:0;dorsal:+;high:-;back:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:+;high:-;back:+;anterior:+;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:-;dorsal:+;high:-;back:+;anterior:-;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-,+;high:-;back:+;anterior:-;distributed:+;low:-;front:+ | labial:-;labiodental:0;coronal:-;strident:0;dorsal:+;high:-;back:+;low:+;retractedTongueRoot:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:+;high:-;back:+;anterior:+;distributed:+;front:+;low:+;retractedTongueRoot:+ | labial:-;labiodental:0;coronal:+;strident:-;dorsal:+;high:-;back:+;anterior:-;distributed:+;front:+;low:+;retractedTongueRoot:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-,+;high:-;back:+;anterior:-;distributed:+;low:+;front:+;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-;category:plosive	p	t	kp	k	4/4	1.0
periodicGlottalSource:+;sonorant:-;nasal:-;category:plosive	b	d	ɡb		3/4	0.666014141042062
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:plosive	mb	nd		ŋɡ	3/4	0.9814429328955693
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive				ŋk	1/4	0.36063269600843684
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	f	s	-	χ	3/3	1.0
	4/5	4/5	2/4	4/5
	0.989723412871536	0.9930701565910163	0.9491463730907193	0.7718759963102345
