	labial:+;coronal:-;dorsal:-;front:0;round:-	labial:-;coronal:+;dorsal:-;front:0;round:0	labial:-;coronal:+;dorsal:-,+;front:+;round:0	labial:-;coronal:-;dorsal:+;front:-;round:0	labial:-,+;coronal:-;dorsal:+;front:-;round:+	count	markedness_count
periodicGlottalSource:+	b					1/5	0.305567890162376
periodicGlottalSource:-		t	tʲ	k	kʷ	4/5	0.7525728509795508
	1/2	1/2	1/2	1/2	1/2
	0.3520981260077749	0.6982137273139257	0.646099549244264	0.7130277745962809	0.8240255992155922
