	labial:+;coronal:-;strident:0;distributed:0;dorsal:-;front:0;round:-	labial:-;coronal:+;strident:+;distributed:-;dorsal:-;front:0;round:0	labial:-;coronal:+;strident:-;distributed:-;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:-;distributed:+;dorsal:-;front:0;round:0	labial:-;coronal:+;strident:-;distributed:-;dorsal:-,+;front:+;round:0	labial:-;coronal:-;strident:0;distributed:0;dorsal:+;front:-;round:0	labial:-,+;coronal:-;strident:0;distributed:0;dorsal:+;front:-;round:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b						1/6	0.2742488510771738
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	ɸ		θ				2/6	0.2718820057386433
periodicGlottalSource:-;category:affricate|plosive		ts	t	tʲ	k	kʷ	5/6	0.7972160736635338
	2/3	1/3	2/3	1/3	1/3	1/3
	0.4537853642437705	0.4491008424605449	0.7294807304526991	0.3521776960329684	0.6284593269609389	0.6398739729681293
